	author	comment
1303	Jim M.	To truly appreciate this video you must see the entire The Wall video, undoubtedly one of the greatest videos ever produced by one of the greatest rock groups of all time. A few years back some of the children in this segment went to court to get more money for their part of it saying they were exploited for their ages. Never heard whether or not they collected .
1304	simon	day 221 listening to pink floyd everyday for1 year
1305	simon	Day 191 listening to pink floyd everyday for 1 year
1306	Monokirb	c'est trop bien
1307	Moura Matos	Curtindo Pink Floyd em 2020, em pleno período sombrio que a humanidade vive.....
1308	Daniel Brissenden	It is very gratifying to watch the students trash the school. It shouldn't be, of course, if schools did what they were supposed to do. The greatest betrayal I ever suffered was by a school.
1309	simon	Day 188 listening to pink floyd everyday for 1 year.
1310	simon	Day 217 listening to pink floyd for 1 year.
1311	JeNeReviensJamais	2022 et tout a encore empiré.
1312	Josue Campos	You know everyone who is watching this video has been in a similar situation and has also imagine this happening to their school.
1313	Claudine nedelec	Tellement ça !
1314	MysOneC	Fun fact: The poem is the lyrics to another Pink Floyd song, Money
1315	simon	day 185 listeninggg to pink floyd everyday for 1 year
1316	Yellow Stickman	That is a good song
1317	Juninho Marthiole	Uma das Melhores 💪
1318	Juan Olivencia	viva la musica
1319	Dominique Hamel	Today is December 18th 2021. I needed that musical fix.
1320	linda d	Pink Floyd - Another Brick In The Wall (HQ)
1321	Cuba А	Всё меньше и меньше людей ,кто в это врубается......
1322	Alonso Adame	Esto es una magnífica obra de arte 👏🏻
1323	Cyndi Lauren	Let’s hear it for the dead poets society, Gentlemen of the Cross 🇫🇴
1324	PlayerOne306	Sad but true but whenever a friend or relative talks about residential school this is what I imagine them talking about 🤣☠️
1325	simon	day 215 listening to pink floyd for 1 yea
1326	Lars Großmann	Alles Gute zum Geburtstag altes Mädchen mit viel Liebe zum Geburtstag gewünscht noch einmal vielen Dank
1327	simon	Day 208listening to pink floyd for 1 year..
1328	Mírian F.Monteiro da Mata	Rebelar contra o sistema, se houver tempo ...
1329	darek AJP	this is the most terrifying video from childhood
1330	Debsubhra Chakraborty	They don't make songs like this anymore
1331	리모콘콘	개쩐다!!!!
1332	plateshutoverlock	This goes beyond school. The world is run by absolute squares and it shows.
1333	prettyboylaurel	i tear up every time i watch the part where the students revolt against the school. there's a very genuine beauty about it and the return to normal at the end makes it even more poignant. good ass song
1334	Jenny Cotton	Look around you -this song has never been more relevant am-frightening
1335	simon	Day 226 listening to pink floyd everyday for 1 year
1336	Riccardo Battaglia	La più bella e intrigante
1337	Osmar Rodrigues Rocha Júnior	De quarentena ouvindo este clássico eterno. Isso não é pra qualquer um não .
1338	Janel Kincannon	Nice
1339	Елена Королева	😊👏
1340	DrLecter	1:53 starting music
1341	The boys	How does it feel good
1342	마태오. 등혜	대한민국 자유민주주을 국민들은 최고입니다 👍
1343	Luka Jikia	შენს ასაკში მე ამას ვუსმენდი... <3
1344	Tati Maya	Imortais !
1345	Cláudio Torres	Só os fortes entenderão o significado dessa música na nossa juventude...
1346	Florida Wildlife	Play this at a school board meeting!
1347	A D	Everyday, everytime that will be actual.
1348	NJASZN	Well the year is 2020, and this entire music video and song has never resonated more than it does right now. I’m literally speechless. Wow. 🤭 I feel like if you know, you know what I’m talking about. 1984.
1349	Muzzle Flash	Parents in the North Penn School District expressed outrage after a photo emerged showing a teacher forcibly taping a mask to a child’s face.
1350	Алексей Афанасьев	Может я буду инноагентом. Моя любимая группа
1351	Mitsuomi	2022!!! ❤️❤️🔥
1352	PlayerOne306	This song is not anti-school song, it’s against Residential School Systems back in the day.
1353	Aurica Ciocanescu	In memoria lui gimi
1354	Fro	nice
1355	simon	day 184 lostening to pink floyd everyday for 1 year
1356	Fialka Parmska	Они это поняли ещё в семидесятых, а Россия до сих пор не в курсе. Так и ходим строем пока на мясорубке не прокрутят
1357	Дмитрий Паралюк	Смотрю уже лет 38
1358	Cyndi Lauren	🔥❤️🌎❤️🔥
1359	Uncle Ike	This is my favorite song from childhood. Played it so many times on the jute box at the local restaurant, and bar they would unplug it. Good times.
1360	Konwajiro	Build a bonfire, build a bonfire….
1361	Aa hs	I had a music teacher that showed the class this song, I was scared for life but learned something a couple years after. He did not quit the school, he was fired for playing this and causing a revolution in the classrooms.
1362	Terran Aura	Leave our kids alone ! 2022 N.Z.
1363	Musistics	524 Million views. Nice.
1364	Romana Kopecká	Za každou chvili
1365	Kamali /	2022....woooow
1366	Davi Alves	For BRAZIL
1367	Дмитрий Паралюк	Нет равных
1368	Elizabeth Damiano	Isso é para os professores esquerdistas
1369	Радикально Иной	Этот клип не находится через поисковую строку! This clip is not found through the search bar!
1370	Davut's kanal	July 16 -2019 Still as good as when it came out 👌
1371	Firpo Maan	"""Mysterious scribbling's "" that will forever change Rock music. And boy did they ever, Floyd will 4ever be 1 of the greatest Rock bands to ever grace the stage and break records."
1372	Suzuki V-Strom	Nous étions trop jeune pour comprendre.
1373	LUIZ CARLOS             _arruda_pmgo   instagram	13/02/18...relembrando 25 anos atras....o tempo passa amigos..vivam a vida...
1374	VDHMEDIA Bay Area	The 12th Doctor brought me here.
1375	Dev Norton	символ еиг
1376	SuperRobbie1976	who's listening in february 2022
1377	Kevin	Once, I was listening to this song a few minutes before school began, and as I walked to my first class of the day, I saw most of the teachers who taught for my grade, walking in a pack and going to their classrooms. Once I saw that, I instantly thought of 0:55 in this music video/move scene and I was laughing to myself all day.😂
1378	Robert Swinda	I’ll be listening to this when I’m 90. I grew up listening to this from my mom always playing Pink Floyd
1379	Reyna Campos	Puta musica
1380	Pat Colford	Foresight, incredible foresight
1381	Victória Cardoso	Só quem é brasileiro e ama essa música vai curtir esse comentário 😎
1382	Firewarrior999	I just found this recently, but I was writing a dystopia based on a factory society based purely on efficiency. I’m glad I found this, it is perfect.
1383	ibinsanediego	After finding out what these tourist feel about a former president.. I’ll be deleting all their music from my devices
1384	Kittxn Sour	My dad showed me this and this is why I'm scared of the dark and many other things today.
1385	Stav Moritz	כלים - גיטרה חשמלית משקל - 4/4 מושגים - קונטטה, סינטיזייסר, קומופוניה תקופה - המחצית השניה של המאה ה-20, אחרי המלחמה וקום המדינה היו עליות רבות שהובילו לשינוי בסגנון המוזיקה.
1386	NawtNCosmic	"""Never let schooling interfere with your education"" -Mark Twain"
1387	Claudine nedelec	C est encore ça le tri ...
1388	1 Second ago	I just found about this song today. It is awesome. Thank you Pink Floyd
1389	ENGİN Sancak	todays children are adults
1390	Isabele Peixoto	Como as pessoas conseguem dar deslike nisso? É maravilhoso!
1391	simon	Day 199 listening to pink floyd everyday for 1 year
1392	Norma Stéphany	Eu sou o comentário brasileiro que você procura,aliás bom gosto pra música meu chapa
1393	Gerson Omar Acevedo Acevedo	El himno que debería tener cada estudiante The anthem that every student should have
1394	Pau Pau	Infancia pura ❤️
1395	Mark Fittler	Teach all da kids like dat
1396	Desconectado da Matrix	2020 de quarentena escutando essa obra prima 🙂🙃
1397	TheLocalFBI	And we didn't listen. The school system is still the same.
1398	⚔️Aqua tu mutante⚔️	Amo está canción
1399	madamabutterfly1986	Rogério Águas conseguiu demonstrar, através do apoio ao movimento de resistência #elenão, que essa música sempre será atual. Valeu, Rogério! ❤️👏
1400	VimyScout	''Hey Teacher leave them kids alone''. Best line i ever hear'd when I was done with school. 30 Years later still a classic !
1401	zé comeia	essa represado cai perfeitamente nos dias atuais no mundo inteiro..
1402	Zuleika Coffie	Love it!
1403	Marco Merino	Love this music
1404	Le Loup des steppes	Good music will never die.
1405	Susan Perry	One of my favorite pink floyd songs
1406	Ian Howard	Unbelievable, this was my favourite record when I was in the 5th year,now 40 years on I'm still a bricklayer🧱🧱🧱🧱🧱
1407	The best music	I love this music 😍 I am Brazilian 🇧🇷
1408	Evilyn Sanches	Pink floyd is the best ❤
1409	Genilton Borges Da Silva Borges Da Silva	Muito louco 🤩🤩🤩
1410	Roman Molinar	It really don't matter which one is your favorite it's only hard to stop listening to all the other songs.
1411	simon	Day 181 listening to Pink floyd everyday for 1 year.. damn
1412	Daniel Gustavsson	Best song ever made! I love u Pink Floyd
1413	TheyCallMeToadette	My parents use to show me this video when I was younger and it always made me scared about school. Banger though!!
1414	Хирург	Great song👍🏻
1415	Felicia Laura Filimon	Deși această parte a albumului The Wall, perpetuează ideea că nu este nevoie de școală, în speță, de educație, lumea devine tot mai săracă în idei, în creativitate și în tot ce i se datorează instituției care naște genii, școala și cei care prin dedicația lor, dascălii, oferă tinerilor orizonturi incredibile.
1416	Trev Gray	How true are these words for today! Its almost prophetic so to speak that Pink Floyd wrote this song almost 40 years ago! A true anthem for democracy!✊
1417	Reaven Floki	2022. Another new year with this great song!✨❤️
1418	EricLV2020	Never been a better moment for this song...
1419	alexyee	This song really makes me remind the time i was 8 and was abused from my private lesson teacher for 4 she was hitting me make me feel like a trash burning my childhood drawings and leaving me a trauma that will haunt me for my whole life
1420	Nunca Olvidaré	These guys were like a cooler rock type coldplay. I loved coldplay at the start , still do but their earlier stuff more poetry before mainstream stuff..pink floyd are another level. Luv it December 2021❤🙏🏼💙
1421	Elenore Atkins	Love this song right on into 2022♥️
1422	Edu Park	I love it ❤❤❤
1423	laura	Quando eu tinha 3 anos meu tio mostrou esse video pra mim e pra minha prima, meu deus o trauma foi tão grande que eu sei a letra de cor desde aquela epoca.
